Source,Target,Type,Id,Label,timeset,Weight,S
21,77,Directed,623,,,3,
21,82,Directed,624,,,1,
21,83,Directed,625,,,1,
21,91,Directed,626,,,3,
21,94,Directed,627,,,1,
21,98,Directed,628,,,1,
21,99,Directed,629,,,2,
21,106,Directed,630,,,6,
21,129,Directed,631,,,2,
21,131,Directed,632,,,1,
21,136,Directed,633,,,3,
21,140,Directed,634,,,1,
21,146,Directed,635,,,2,
21,148,Directed,636,,,3,
21,152,Directed,637,,,1,
21,165,Directed,638,,,2,
21,166,Directed,639,,,3,
22,10,Directed,640,,,2,
22,11,Directed,641,,,1,
22,24,Directed,642,,,1,
22,29,Directed,643,,,2,
22,66,Directed,644,,,3,
22,67,Directed,645,,,7,
22,68,Directed,646,,,1,
22,69,Directed,647,,,3,
22,74,Directed,648,,,2,
22,78,Directed,649,,,1,
22,81,Directed,650,,,1,
22,89,Directed,651,,,14,
22,104,Directed,652,,,1,
22,107,Directed,653,,,3,
22,111,Directed,654,,,2,
22,112,Directed,655,,,1,
22,116,Directed,656,,,1,
22,132,Directed,657,,,8,
22,137,Directed,658,,,13,
22,147,Directed,659,,,10,
22,160,Directed,660,,,4,
22,161,Directed,661,,,2,
23,1,Directed,662,,,3,
23,3,Directed,663,,,1,
23,18,Directed,664,,,2,
23,21,Directed,665,,,5,
23,39,Directed,666,,,3,
23,43,Directed,667,,,2,
23,47,Directed,668,,,4,
23,52,Directed,669,,,1,
23,55,Directed,670,,,1,
23,60,Directed,671,,,1,
23,72,Directed,672,,,4,
23,77,Directed,673,,,2,
23,87,Directed,674,,,1,
23,94,Directed,675,,,1,
23,98,Directed,676,,,1,
23,100,Directed,677,,,1,
23,106,Directed,678,,,2,
23,123,Directed,679,,,2,
23,129,Directed,680,,,2,
23,136,Directed,681,,,1,
23,140,Directed,682,,,5,
23,146,Directed,683,,,6,
23,150,Directed,684,,,2,
23,152,Directed,685,,,9,
23,165,Directed,686,,,2,
23,166,Directed,687,,,1,
24,10,Directed,688,,,1,
24,11,Directed,689,,,2,
24,22,Directed,690,,,11,
24,29,Directed,691,,,3,
24,63,Directed,692,,,4,
24,66,Directed,693,,,2,
24,67,Directed,694,,,11,
24,68,Directed,695,,,3,
24,69,Directed,696,,,1,
24,74,Directed,697,,,2,
24,75,Directed,698,,,2,
24,79,Directed,699,,,5,
24,89,Directed,700,,,10,
24,90,Directed,701,,,2,
24,101,Directed,702,,,1,
24,107,Directed,703,,,1,
24,116,Directed,704,,,3,
24,132,Directed,705,,,8,
24,137,Directed,706,,,6,
24,144,Directed,707,,,3,
24,147,Directed,708,,,6,
24,157,Directed,709,,,2,
24,160,Directed,710,,,8,
24,163,Directed,711,,,2,
25,3,Directed,712,,,2,
25,19,Directed,713,,,3,
25,27,Directed,714,,,1,
25,28,Directed,715,,,1,
25,31,Directed,716,,,5,
25,33,Directed,717,,,1,
25,39,Directed,718,,,7,
25,40,Directed,719,,,1,
25,43,Directed,720,,,5,
25,45,Directed,721,,,1,
25,51,Directed,722,,,1,
25,52,Directed,723,,,3,
25,54,Directed,724,,,2,
25,55,Directed,725,,,2,
25,71,Directed,726,,,1,
25,72,Directed,727,,,3,
25,74,Directed,728,,,2,
25,83,Directed,729,,,1,
25,87,Directed,730,,,1,
25,96,Directed,731,,,1,
25,98,Directed,732,,,1,
25,99,Directed,733,,,1,
25,102,Directed,734,,,1,
25,106,Directed,735,,,6,
25,122,Directed,736,,,2,
25,129,Directed,737,,,2,
25,136,Directed,738,,,1,
25,140,Directed,739,,,3,
25,148,Directed,740,,,2,
25,150,Directed,741,,,1,
25,152,Directed,742,,,1,
25,165,Directed,743,,,2,
25,166,Directed,744,,,3,
26,7,Directed,745,,,1,
26,19,Directed,746,,,1,
26,25,Directed,747,,,1,
26,29,Directed,748,,,1,
26,32,Directed,749,,,4,
26,34,Directed,750,,,1,
26,42,Directed,751,,,1,
26,44,Directed,752,,,3,
26,51,Directed,753,,,1,
26,58,Directed,754,,,1,
26,59,Directed,755,,,2,
26,61,Directed,756,,,1,
26,62,Directed,757,,,6,
26,64,Directed,758,,,1,
26,69,Directed,759,,,1,
26,73,Directed,760,,,4,
26,74,Directed,761,,,1,
26,93,Directed,762,,,1,
26,96,Directed,763,,,17,
26,107,Directed,764,,,1,
26,113,Directed,765,,,1,
26,122,Directed,766,,,1,
26,149,Directed,767,,,2,
26,155,Directed,768,,,8,
27,1,Directed,769,,,2,
27,21,Directed,770,,,2,
27,25,Directed,771,,,2,
27,39,Directed,772,,,1,
27,55,Directed,773,,,3,
27,60,Directed,774,,,3,
27,77,Directed,775,,,2,
27,82,Directed,776,,,1,
27,83,Directed,777,,,1,
27,91,Directed,778,,,5,
27,94,Directed,779,,,3,
27,98,Directed,780,,,2,
27,99,Directed,781,,,1,
27,129,Directed,782,,,9,
27,131,Directed,783,,,4,
27,136,Directed,784,,,2,
27,146,Directed,785,,,2,
27,148,Directed,786,,,1,
27,150,Directed,787,,,2,
27,152,Directed,788,,,3,
27,165,Directed,789,,,1,
28,1,Directed,790,,,1,
28,5,Directed,791,,,38,
28,8,Directed,792,,,1,
28,16,Directed,793,,,5,
28,17,Directed,794,,,1,
28,19,Directed,795,,,31,
28,30,Directed,796,,,7,
28,32,Directed,797,,,2,
28,42,Directed,798,,,6,
28,45,Directed,799,,,1,
28,54,Directed,800,,,4,
28,71,Directed,801,,,1,
28,74,Directed,802,,,1,
28,96,Directed,803,,,3,
28,102,Directed,804,,,1,
28,114,Directed,805,,,22,
28,115,Directed,806,,,17,
28,118,Directed,807,,,1,
