Id,Label,timeset,matches,goals_for,goals_against,wins,losses,per_win,per_loss,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,pageranks,clustering,eigencentrality,componentnumber,strongcompnum,gre
73,Jamaica,,210,353,279,117,93,0.557143,0.442857,4,0.453297,0.518182,377.212089,1,21,25,46,90,91,181,0.015594,0.027911,0.004936,0.438424,0.099601,0,0,73
74,Japan,,293,628,292,197,96,0.672355,0.327645,3,0.539216,0.615152,1304.658861,5,55,45,100,180,96,276,0.08948,0.093867,0.010614,0.2759,0.50335,0,0,74
75,Jordan,,156,255,199,86,70,0.551282,0.448718,4,0.496988,0.54899,244.550985,5,29,25,54,73,66,139,0.036961,0.029328,0.004871,0.370871,0.198082,0,0,75
76,Kazakhstan,,103,114,225,25,78,0.242718,0.757282,4,0.460894,0.54798,165.545767,2,14,36,50,21,76,97,0.030354,0.11234,0.002534,0.38206,0.088496,0,0,76
77,Kenya,,258,330,335,125,133,0.484496,0.515504,4,0.483871,0.560606,291.712731,3,27,35,62,87,123,210,0.020004,0.028563,0.004244,0.504065,0.168177,0,0,77
78,Kuwait,,255,492,280,155,100,0.607843,0.392157,4,0.462185,0.516162,84.494817,5,31,21,52,143,100,243,0.033541,0.029607,0.005043,0.475397,0.191054,0,0,78
79,Laos,,114,125,411,27,87,0.236842,0.763158,4,0.420918,0.488384,4.887575,5,6,23,29,14,80,94,0.005048,0.016852,0.001323,0.656126,0.019089,0,0,79
80,Latvia,,177,208,288,72,105,0.40678,0.59322,4,0.445946,0.538889,105.448987,2,22,37,59,72,105,177,0.075231,0.119461,0.004293,0.534884,0.248016,0,0,80
81,Lebanon,,125,178,226,50,75,0.4,0.6,4,0.470085,0.526263,134.625525,5,23,23,46,44,74,118,0.023732,0.023412,0.003549,0.502016,0.121403,0,0,81
82,Liberia,,132,123,218,46,86,0.348485,0.651515,5,0.44837,0.523434,85.766305,3,24,28,52,36,77,113,0.021007,0.02365,0.004117,0.610084,0.17636,0,0,82
83,Libya,,116,172,162,54,62,0.465517,0.534483,4,0.457064,0.533333,211.600696,3,28,30,58,42,59,101,0.026497,0.027837,0.00499,0.463492,0.220465,0,0,83
84,Liechtenstein,,120,42,396,9,111,0.075,0.925,4,0.443548,0.525253,27.085286,2,7,31,38,8,109,117,0.021716,0.108615,0.001541,0.578431,0.0462,0,0,84
85,Lithuania,,175,176,306,64,111,0.365714,0.634286,4,0.437666,0.526768,52.75563,2,21,34,55,64,109,173,0.070059,0.112943,0.004025,0.565434,0.21332,0,0,85
86,Luxembourg,,235,115,740,16,219,0.068085,0.931915,4,0.441176,0.54596,29.734041,2,13,42,55,16,215,231,0.045486,0.150825,0.003312,0.622572,0.170942,0,0,86
87,Madagascar,,113,131,178,51,62,0.451327,0.548673,5,0.409429,0.480505,29.679064,3,19,23,42,35,57,92,0.01695,0.017493,0.003401,0.692308,0.144129,0,0,87
88,Malawi,,204,246,268,95,109,0.465686,0.534314,5,0.429688,0.509293,31.2494,3,22,29,51,64,103,167,0.018321,0.022645,0.003941,0.716129,0.166869,0,0,88
89,Malaysia,,336,598,580,162,174,0.482143,0.517857,4,0.482456,0.547475,214.940977,5,25,29,54,137,169,306,0.028269,0.034254,0.003719,0.441679,0.142267,0,0,89
90,Maldives,,105,175,273,41,64,0.390476,0.609524,4,0.436508,0.491414,8.906861,5,11,19,30,25,56,81,0.008067,0.015592,0.001647,0.601449,0.026816,0,0,90
91,Mali,,201,299,219,121,80,0.60199,0.39801,5,0.425258,0.501717,49.06495,3,31,27,58,88,74,162,0.027357,0.021221,0.005436,0.696023,0.245203,0,0,91
92,Malta,,218,97,635,18,200,0.082569,0.917431,4,0.498489,0.599495,152.375696,2,14,48,62,18,194,212,0.040252,0.159242,0.002681,0.497097,0.128186,0,0,92
93,Martinique,,123,258,164,74,49,0.601626,0.398374,4,0.402439,0.457071,127.695237,1,14,17,31,51,43,94,0.004221,0.008795,0.003213,0.560606,0.028175,0,0,93
94,Mauritania,,111,94,217,26,85,0.234234,0.765766,4,0.445946,0.515657,33.144338,3,12,27,39,18,71,89,0.00809,0.02135,0.002582,0.603448,0.081079,0,0,94
95,Mauritius,,118,84,262,23,95,0.194915,0.805085,5,0.420918,0.497172,6.733336,3,10,27,37,15,86,101,0.006852,0.019142,0.002123,0.695157,0.062551,0,0,95
96,Mexico,,338,766,357,234,104,0.692308,0.307692,3,0.52381,0.593939,1337.834187,1,47,39,86,227,104,331,0.071305,0.097904,0.012253,0.298087,0.486164,0,0,96
97,Moldova,,119,91,254,24,95,0.201681,0.798319,4,0.44837,0.544949,177.537178,2,16,39,55,23,92,115,0.044237,0.122704,0.002921,0.460101,0.138065,0,0,97
98,Morocco,,216,370,176,145,71,0.671296,0.328704,4,0.491071,0.565152,732.633551,3,48,35,83,134,69,203,0.053616,0.068537,0.008057,0.313661,0.39603,0,0,98
99,Mozambique,,143,168,210,62,81,0.433566,0.566434,5,0.429688,0.507273,29.050941,3,20,28,48,44,77,121,0.016354,0.022404,0.00366,0.70197,0.14416,0,0,99
100,Namibia,,128,154,225,51,77,0.398438,0.601562,5,0.433071,0.514343,17.6689,3,18,30,48,36,72,108,0.012716,0.023676,0.00321,0.704637,0.118641,0,0,100
101,Nepal,,115,96,338,26,89,0.226087,0.773913,4,0.476879,0.537374,6.776683,5,5,26,31,9,79,88,0.004273,0.023316,0.001181,0.508547,0.011203,0,0,101
102,Netherlands,,273,678,226,206,67,0.754579,0.245421,4,0.415617,0.503535,124.669177,2,56,31,87,201,65,266,0.174975,0.124215,0.014341,0.46219,0.890038,0,0,102
103,New Caledonia,,123,443,160,80,43,0.650407,0.349593,4,0.377574,0.413131,40.034929,4,5,8,13,45,39,84,0.002054,0.002507,0.002063,0.553571,0.007324,0,0,103
104,New Zealand,,128,276,165,78,50,0.609375,0.390625,4,0.512422,0.565152,868.24057,4,19,28,47,69,49,118,0.021007,0.056836,0.004112,0.309388,0.113454,0,0,104
105,Nicaragua,,104,89,339,18,86,0.173077,0.826923,4,0.383721,0.430303,5.251117,1,6,13,19,12,83,95,0.00272,0.007779,0.001899,0.709524,0.015961,0,0,105
106,Nigeria,,240,422,226,163,77,0.679167,0.320833,4,0.507692,0.580808,733.050317,3,44,37,81,151,77,228,0.053801,0.069721,0.007938,0.337406,0.402905,0,0,106
107,North Korea,,183,357,216,113,70,0.617486,0.382514,4,0.46875,0.523232,225.186805,5,31,22,53,86,68,154,0.040628,0.039382,0.005288,0.415655,0.223042,0,0,107
108,North Macedonia,,106,124,184,33,73,0.311321,0.688679,4,0.419847,0.503535,28.463649,2,17,30,47,31,73,104,0.056147,0.107506,0.003313,0.587087,0.165503,0,0,108
109,Northern Ireland,,330,382,603,121,209,0.366667,0.633333,4,0.443548,0.54798,78.866509,2,41,42,83,121,209,330,0.140541,0.152998,0.010865,0.586735,0.68589,0,0,109
110,Norway,,322,523,552,154,168,0.478261,0.521739,4,0.426357,0.520202,95.720277,2,43,35,78,154,166,320,0.141872,0.136378,0.01076,0.541633,0.670482,0,0,110
111,Oman,,187,295,293,81,106,0.433155,0.566845,4,0.435356,0.491919,47.024779,5,25,20,45,69,103,172,0.026065,0.021865,0.003814,0.576613,0.131577,0,0,111
112,Pakistan,,102,83,279,22,80,0.215686,0.784314,4,0.475504,0.540404,35.813034,5,9,27,36,13,73,86,0.008308,0.024769,0.00155,0.514245,0.030127,0,0,112
113,Panama,,178,245,344,72,106,0.404494,0.595506,4,0.430809,0.495455,149.294851,1,19,22,41,66,105,171,0.015312,0.030267,0.004679,0.451567,0.092502,0,0,113
114,Paraguay,,344,509,597,161,183,0.468023,0.531977,4,0.428571,0.487374,52.84484,0,23,20,43,161,183,344,0.044724,0.058641,0.006852,0.43871,0.285052,0,0,114
115,Peru,,280,382,467,116,164,0.414286,0.585714,4,0.426357,0.482323,61.397923,0,22,19,41,116,164,280,0.040971,0.048031,0.006311,0.411494,0.246229,0,0,115
116,Philippines,,131,152,344,42,89,0.320611,0.679389,4,0.434211,0.50404,42.10928,5,15,26,41,23,81,104,0.012631,0.020618,0.002172,0.625356,0.053743,0,0,116
117,Poland,,223,439,289,137,86,0.61435,0.38565,4,0.492537,0.575253,387.218131,2,56,39,95,131,85,216,0.169663,0.137024,0.014025,0.409626,0.841757,0,0,117
118,Portugal,,261,540,256,187,74,0.716475,0.283525,4,0.476879,0.549495,251.556798,2,58,32,90,185,74,259,0.176577,0.122239,0.014897,0.434426,0.896161,0,0,118
119,Qatar,,249,434,299,139,110,0.558233,0.441767,4,0.45961,0.517677,62.172552,5,31,23,54,127,110,237,0.034978,0.030826,0.004751,0.507563,0.18145,0,0,119
120,Republic of Ireland,,215,347,274,121,94,0.562791,0.437209,4,0.443548,0.526263,136.939171,2,46,32,78,117,94,211,0.145029,0.123682,0.010443,0.454209,0.629142,0,0,120
